date,skew_lt_ecb,skew_resid_lt_ecb,skew_lt_ecb_ma,skew_resid_lt_ecb_ma
2020m1,,,,
2020m2,,,,
2020m3,,,,
2020m4,.88727087,.7724176,.75177187,.62814927
2020m5,.4891032,.35116145,.7444492,.63088101
2020m6,.66977865,.56391722,.76829541,.66285288
2020m7,.67671901,.51864201,.8611455,.75899547
2020m8,1.0359877,.93460792,.86181104,.75947267
2020m9,.70783579,.64454001,.78314322,.67708731
2020m10,.91137278,.85468411,.79346699,.69506186
2020m11,1.511096,1.4319934,.79477423,.6997785
2020m12,.86713511,.76329041,.78524363,.70903778
2021m1,.17926075,.030949431,.75181508,.68135524
2021m2,.58201706,.51293242,.74020195,.67107511
2021m3,.68154395,.60636657,.70064974,.62635028
2021m4,.59094357,.60197562,.61344957,.54420251
2021m5,.73513049,.68546546,.5686658,.5015462
2021m6,.60331768,.5520187,.63189274,.5723303
2021m7,.55540323,.45216039,.63897276,.57996619
2021m8,.72629458,.69266367,.61734813,.5550127
2021m9,.46408105,.37938377,.55997765,.48392975
2021m10,.74830288,.66800594,.50966251,.42876241
2021m11,.64573765,.58165568,.44177783,.35514086
2021m12,.48692197,.38178521,.38858712,.29685456
2022m1,.074609414,-.037770979,.29864171,.19572587
2022m2,.2822943,.1889592,.27642474,.16923425
2022m3,-.0076445602,-.11057508,.196788,.084503613
2022m4,.0766868,-.072416514,.12130894,.0065942686
2022m5,-.083214134,-.21749438,.04673006,-.070078321
2022m6,.26412839,.14095919,.013340989,-.10176177
2022m7,.031572208,-.09456981,-.026081739,-.14302507
2022m8,-.033573937,-.11952841,-.036221664,-.15402338
2022m9,-.18428795,-.3082681,-.074273542,-.19229646
2022m10,-.22589222,-.32292196,-.062322855,-.17741735
2022m11,-.07251025,-.18241055,-.11134803,-.22255114
2022m12,-.098903902,-.20955987,-.099829011,-.21012218
2023m1,-.26578006,-.4168742,-.10038944,-.21898299
2023m2,.024342043,-.083582491,-.072122864,-.18898723
2023m3,-.17709826,-.26524484,-.03885936,-.15824518
2023m4,.13524342,.017290747,-.028725699,-.14717512
2023m5,-.038617771,-.19927569,.021272125,-.095496424
2023m6,.070111223,-.038306125,.087257624,-.024876293
2023m7,.073479332,-.046243507,.12403322,.011214782
2023m8,.018692689,-.082780138,.18320125,.069724157
2023m9,.35107651,.25554845,.20146637,.085541517
2023m10,.32808942,.21870697,.22309443,.11117654
2023m11,.35532245,.24123718,.25815296,.13925061
2023m12,.35541403,.26133952,.28363994,.16183335
2024m1,.29962939,.15964699,.32331675,.1998257
2024m2,.15603484,.031439472,.30520359,.17734893
2024m3,.38563809,.21436058,.3144953,.18676285
2024m4,.3028619,.15700111,.34667885,.21741728
2024m5,.3757841,.2591511,.3616181,.22908601
2024m6,.18805803,.053257469,.3776938,.24751675
2024m7,.41171482,.30343232,.44006979,.31197572
2024m8,.64497453,.51712704,.45727953,.33609712
2024m9,.48986724,.36635807,.48500568,.36640719
2024m10,.44431072,.32552364,.48190978,.36044332
2024m11,.71741873,.61157024,.49540323,.37740016
2024m12,.54052573,.43145305,.50586426,.38664612
2025m1,.55239719,.42979175,.48599139,.36800599
2025m2,.34792107,.20547621,.48534542,.36828065
2025m3,.30949903,.20586903,.49355236,.37683207
