date,st_dev_ecb,st_dev_resid_ecb,st_dev_ecb_ma,st_dev_resid_ecb_ma
2020m1,,,,
2020m2,,,,
2020m3,,,,
2020m4,5.7047338,5.6514397,5.6991053,5.6050467
2020m5,6.0612626,5.9633899,5.7083125,5.6166301
2020m6,5.6490126,5.5390997,5.6333156,5.5484667
2020m7,5.976542,5.9145746,5.6158557,5.5377569
2020m8,5.1039748,4.9567304,5.6924982,5.6196823
2020m9,5.7543488,5.6745462,5.6649914,5.5919094
2020m10,5.1833344,5.1394873,5.6486959,5.5824304
2020m11,5.4936357,5.4627857,5.6922369,5.6351109
2020m12,6.3056407,6.2750859,5.6948094,5.6400199
2021m1,5.4571724,5.401485,5.8224292,5.7821794
2021m2,5.9146013,5.8780804,5.8349252,5.7971678
2021m3,6.0408816,6.0132208,5.8363991,5.7909727
2021m4,5.9996934,5.9587564,5.7614188,5.7144032
2021m5,6.252553,6.2361674,5.630209,5.5815291
2021m6,5.8668141,5.8094397,5.6175199,5.55796
2021m7,5.1966014,5.0837317,5.5853214,5.5193872
2021m8,4.81881,4.7736602,5.5110626,5.4470024
2021m9,5.1247549,5.0792208,5.466073,5.3992896
2021m10,5.3429675,5.1893611,5.3781314,5.2924027
2021m11,5.6248159,5.5309262,5.3765054,5.2862506
2021m12,5.3725548,5.3617563,5.4768271,5.392282
2022m1,5.5947843,5.5293417,5.6750822,5.5857425
2022m2,5.4610806,5.2741857,5.7748432,5.6860895
2022m3,5.8521805,5.7540722,5.8617835,5.7807403
2022m4,6.0994978,6.0380158,5.9633522,5.891212
2022m5,6.6031032,6.5148034,6.1079135,6.0321674
2022m6,6.0226054,5.9823437,6.2310462,6.1514659
2022m7,6.1254277,6.0412188,6.3293147,6.2661452
2022m8,6.5389352,6.5251708,6.4010439,6.3420525
2022m9,6.6736088,6.6303568,6.4403405,6.383317
2022m10,6.7029753,6.6030269,6.4409151,6.385859
2022m11,6.3454971,6.3062987,6.5012751,6.4492178
2022m12,6.4977441,6.4372387,6.525538,6.4846091
2023m1,6.453166,6.4093952,6.5302544,6.4706926
2023m2,6.6082764,6.5376797,6.4985394,6.4340067
2023m3,6.5658445,6.5525732,6.4407458,6.3729029
2023m4,6.3437948,6.3597422,6.4252057,6.3507857
2023m5,6.5813808,6.3999233,6.3403726,6.2584457
2023m6,6.3881769,6.3001842,6.2758331,6.1856937
2023m7,6.1828327,6.0530887,6.1890888,6.0953159
2023m8,6.2056341,6.1072469,6.0504613,5.9511204
2023m9,5.7342458,5.6061792,5.9565725,5.8488832
2023m10,5.872313,5.7546268,5.845849,5.7434149
2023m11,5.8275762,5.7242789,5.7523899,5.6481729
2023m12,5.3181987,5.2548127,5.7289186,5.6192169
2024m1,5.4987936,5.4396076,5.6627049,5.5447493
2024m2,5.5848722,5.4507093,5.6605382,5.5397472
2024m3,5.5470428,5.4430075,5.6019387,5.4754663
2024m4,5.9715891,5.7924838,5.5290761,5.3926144
2024m5,5.6097112,5.4370356,5.5129237,5.3684621
2024m6,5.7147474,5.5611639,5.4908051,5.3385248
2024m7,5.3449159,5.1760964,5.4599113,5.307457
2024m8,5.1718159,4.9786129,5.4095526,5.2650166
2024m9,5.1728272,5.0374417,5.3094196,5.1743407
2024m10,5.299726,5.1701736,5.3068538,5.1701789
2024m11,5.3068252,5.1710978,5.2760229,5.1369581
2024m12,5.0938139,5.0610428,5.2907944,5.1585126
2025m1,5.0703945,4.9764004,5.3137569,5.1887951
2025m2,5.5866194,5.3995824,5.3450398,5.2068648
2025m3,5.4372678,5.2621756,5.3613033,5.2170267
2025m4,5.477859,5.3700848,5.3807101,5.234129
2025m5,5.3784781,5.2511587,5.3960581,5.2410531
2025m6,5.4543757,5.2000656,5.4330883,5.2681675
2025m7,5.4460959,5.261632,5.4014578,5.2367496
2025m8,5.4814858,5.3250175,5.3825073,5.2222037
2025m9,5.231945,5.1233616,5.3705883,5.2037187
2025m10,5.4036674,5.2204309,5.3694611,5.1969419
2025m11,5.3019457,5.1168199,5.3553085,5.1964211
2025m12,5.2667117,5.1312642,5.3371511,5.1833787
2026m1,,,,
