date,st_dev_lt_ecb,st_dev_resid_lt_ecb,st_dev_lt_ecb_ma,st_dev_resid_lt_ecb_ma
2020m1,,,,
2020m2,,,,
2020m3,,,,
2020m4,5.0561128,5.0090365,5.1511407,5.0760999
2020m5,5.234714,5.1798534,5.1738119,5.0985045
2020m6,5.3309908,5.2580695,5.1854434,5.1138744
2020m7,5.3025498,5.2179961,5.1646366,5.0968513
2020m8,4.831336,4.7155442,5.1804099,5.1106482
2020m9,5.2871695,5.2105279,5.1714721,5.1032996
2020m10,5.2552323,5.2060928,5.1470809,5.0794864
2020m11,5.0189886,4.9776917,5.1537728,5.0894523
2020m12,5.3065948,5.2210226,5.1076703,5.0494151
2021m1,4.9756727,4.9428973,5.0712624,5.0145683
2021m2,5.0151916,4.9655347,5.1019769,5.0452414
2021m3,5.3912187,5.3477621,5.0802431,5.020617
2021m4,4.8876276,4.8576608,5.0533018,4.9950719
2021m5,4.5036645,4.4019237,5.0443964,4.991117
2021m6,5.563602,5.486588,5.0022244,4.9397368
2021m7,5.0596266,4.9844737,5.02385,4.9603286
2021m8,4.7765174,4.747786,4.9920597,4.9277468
2021m9,5.2264485,5.1854272,5.065711,5.0042362
2021m10,4.5961227,4.4804749,5.1422372,5.0833459
2021m11,5.2098236,5.1508608,5.1749086,5.1255918
2021m12,5.1051059,5.0545249,5.3279901,5.2869773
2022m1,5.5504866,5.5460672,5.5129051,5.4745917
2022m2,5.1924009,5.1139088,5.6306834,5.5914474
2022m3,5.8576446,5.8668036,5.8356957,5.8062129
2022m4,6.4373589,6.4369416,6.0082603,5.9839888
2022m5,6.4407535,6.4363155,6.2259507,6.2098513
2022m6,6.2864542,6.2371273,6.406888,6.3881035
2022m7,6.4412341,6.4133658,6.5773635,6.5668955
2022m8,6.7629037,6.7508454,6.6679368,6.6540117
2022m9,7.0643215,7.0872841,6.708456,6.6985765
2022m10,7.1789198,7.1503396,6.7258601,6.7097683
2022m11,6.7266831,6.7230377,6.7896152,6.7735524
2022m12,6.6728005,6.6508498,6.8018804,6.7793155
2023m1,6.8020349,6.8380222,6.7918248,6.7583241
2023m2,6.5973907,6.5370426,6.7330832,6.6872687
2023m3,6.8602486,6.811183,6.6376562,6.5905471
2023m4,6.55162,6.4652357,6.6009951,6.5523472
2023m5,6.6724038,6.561924,6.5184155,6.4647856
2023m6,6.5356493,6.4477835,6.4262271,6.3606887
2023m7,6.3200769,6.2798448,6.3099103,6.243927
2023m8,6.3967314,6.3792372,6.155086,6.0894198
2023m9,5.9295821,5.8627973,6.0590649,5.9998083
2023m10,5.972343,5.9011493,5.966373,5.9079642
2023m11,5.5505385,5.4861903,5.9031973,5.8482208
2023m12,5.4668298,5.4206181,5.8723865,5.8114586
2024m1,5.6874309,5.6587324,5.7986288,5.7244873
2024m2,5.8381743,5.7353272,5.8043799,5.7260561
2024m3,5.9670672,5.9100928,5.755404,5.6695309
2024m4,6.0427818,5.9489808,5.7368503,5.6443334
2024m5,5.7329097,5.5964971,5.7360215,5.6349726
2024m6,5.9813457,5.8769164,5.7184668,5.6091652
2024m7,5.5315571,5.3924212,5.6665812,5.5553308
2024m8,5.3835568,5.2594151,5.5828619,5.4738421
2024m9,5.4593697,5.3363686,5.5301661,5.4227977
2024m10,5.5294394,5.426466,5.5471292,5.4396648
2024m11,5.3712029,5.2508197,5.5099964,5.4005346
2024m12,5.213594,5.1766934,5.52002,5.4142451
2025m1,5.568521,5.4895797,5.5416727,5.4396729
2025m2,5.8855748,5.7483048,5.5564828,5.4500861
2025m3,5.6471515,5.524745,5.5600228,5.4517188
2025m4,5.621768,5.5158143,5.619966,5.5114808
2025m5,5.5784326,5.4882665,5.657208,5.5390553
2025m6,5.5926609,5.4300842,5.6509948,5.5251846
2025m7,5.5612998,5.4411631,5.6205149,5.4965177
2025m8,5.9106913,5.7886782,5.5798149,5.4556231
2025m9,5.5487738,5.4248643,5.5745707,5.4480996
2025m10,5.5125995,5.3647408,5.574019,5.4423614
2025m11,5.6112585,5.490304,5.5709124,5.4444075
2025m12,5.2808499,5.1566949,5.5728345,5.4450564
2026m1,,,,
