date,mean_fcast_msc,med_fcast_msc
1978m1,4.96987614833171,5
1978m2,6.033030727609065,5
1978m3,5.747969788788389,5
1978m4,6.304524643895968,6
1978m5,6.207582523510395,6
1978m6,6.182596663020243,6
1978m7,6.087994664997521,6
1978m8,7.185429221930725,7
1978m9,6.302608173285503,6
1978m10,6.882738214902383,7
1978m11,6.817189312984796,7
1978m12,6.837222787092261,7
1979m1,7.265500547681682,7
1979m2,7.643034633996634,8
1979m3,7.802454271342262,8
1979m4,8.330238799455101,9
1979m5,8.397284568108068,10
1979m6,8.258469322964354,10
1979m7,8.539548031874991,10
1979m8,8.275175158423542,10
1979m9,7.80721233322585,9
1979m10,7.482564888918149,7
1979m11,8.643028704166566,10
1979m12,8.11782655004124,9
1980m1,8.943271443091277,10
1980m2,8.623033817409794,10
1980m3,8.589937752641235,10
1980m4,7.664421205989451,10
1980m5,5.986123665277883,6
1980m6,5.96379438439727,7
1980m7,6.568842349989022,7
1980m8,6.547638738726587,7
1980m9,7.198628872038992,7
1980m10,6.805873401386972,7
1980m11,6.08005904014306,6
1980m12,7.230482369817191,8
1981m1,6.613091380779862,7
1981m2,6.725837081633417,6
1981m3,5.916442517390301,5.5
1981m4,6.101361619356627,6
1981m5,6.024194682437836,5
1981m6,5.408362758440215,5
1981m7,5.054697167808416,5
1981m8,5.247710766185723,5
1981m9,6.06967673856774,5
1981m10,5.423801230024536,5
1981m11,5.799747104478971,5
1981m12,4.572727273261775,5
1982m1,4.191951140369684,4
1982m2,4.42083345992546,5
1982m3,4.26256077797842,4
1982m4,4.587476673254986,5
1982m5,3.389529104332169,3
1982m6,4.753355703610165,5
1982m7,5.289473684210569,5
1982m8,5.384373412798136,5
1982m9,4.547377919553866,5
1982m10,4.654904911789587,5
1982m11,4.168616365946269,4
1982m12,3.815787775652346,3
1983m1,3.217105263157912,3
1983m2,3.016803141496887,3
1983m3,2.305060232108671,1
1983m4,3.194977427211123,3
1983m5,3.417185983410282,3
1983m6,3.405432337575597,3
1983m7,3.815669178699251,3
1983m8,4.0589254766031,3
1983m9,3.828966083938072,3
1983m10,4.430967273643331,3
1983m11,3.952281552404598,3
1983m12,3.910988035958326,3
1984m1,4.033242336374996,3
1984m2,4.198059770168825,3
1984m3,3.946187499486298,3
1984m4,5.03534808453962,4.5
1984m5,3.93150684931505,4
1984m6,4.794188017498731,4
1984m7,4.151259117040788,3
1984m8,3.935415697035229,3
1984m9,3.548922056384752,3
1984m10,4.108587421333986,3
1984m11,4.107015083957537,3
1984m12,3.765083440308053,3
1985m1,3.406360424028285,3
1985m2,3.844709897610917,3
1985m3,3.809477113674049,3
1985m4,4.738410596026527,3
1985m5,3.898722685791737,3
1985m6,4.06937394247037,3
1985m7,3.576234285611465,3
1985m8,3.293913412072092,3
1985m9,3.535655058043101,3
1985m10,4.147098288750451,3
1985m11,3.572727272727279,3
1985m12,4.04001890054783,3
1986m1,3.533453887884277,3
1986m2,3.134892605570605,3
1986m3,2.273927392483642,3
1986m4,2.457893681090125,2
1986m5,2.850877192982464,3
1986m6,3.351230265392386,3
1986m7,3.006430868167193,3
1986m8,3.451985276581907,3
1986m9,3.196856659834571,3
1986m10,3.487084620686216,3
1986m11,3.238864307216173,3
1986m12,3.377489394063579,3
1987m1,3.671134597545005,3
1987m2,3.980287261786521,3
1987m3,3.522522522522524,3
1987m4,3.633386065549984,3
1987m5,3.922305264053171,3
1987m6,3.760113237297924,3
1987m7,3.66612377850165,3
1987m8,3.882255389718078,3
1987m9,3.563734290843818,3
1987m10,3.763213530655404,3
1987m11,3.964285714285695,3
1987m12,3.480546357782345,3
1988m1,3.937854454541251,3
1988m2,4.014563106796117,3
1988m3,3.65625,3
1988m4,3.832980972515873,3
1988m5,3.639442231075691,3
1988m6,4.511009249504942,3
1988m7,5.096153858732199,4
1988m8,5.03546679352962,5
1988m9,4.243113722617717,3
1988m10,4.591891891891912,5
1988m11,4.535725082786685,4
1988m12,4.667205326558505,4
1989m1,4.182782905913989,3
1989m2,4.076166329498196,4
1989m3,4.609562665244971,4
1989m4,4.285863995864832,4
1989m5,4.582259188286948,4.5
1989m6,4.458823529411784,4
1989m7,4.948152833137852,4
1989m8,4.11206896551723,3
1989m9,3.462543483326961,3
1989m10,4.142703586886101,3
1989m11,4.242009751332938,4
1989m12,4.075510204081637,3
1990m1,4.524571822571058,4
1990m2,4.340292275574111,4
1990m3,4.426210946528291,4
1990m4,4.217977709279692,4
1990m5,4.02568259334688,3
1990m6,4.205394190871383,3.5
1990m7,4.150110375275951,3
1990m8,4.955974842767313,4
1990m9,5.074688796680469,5
1990m10,5.378825908268936,5
1990m11,4.825572036980768,5
1990m12,4.760532150776045,5
1991m1,4.049757078072949,4
1991m2,3.483230449414011,3
1991m3,3.350104821802922,3
1991m4,3.963467136702067,4
1991m5,3.745182012847975,3
1991m6,3.569105691056932,3
1991m7,3.419222903885492,3
1991m8,3.671939950501298,3
1991m9,3.26213592233011,3
1991m10,3.285140562249006,3
1991m11,3.192419463312044,3
1991m12,2.792181069958845,3
1992m1,2.88671875,3
1992m2,2.813161998789921,2
1992m3,2.662674650698594,2
1992m4,2.986967300958752,3
1992m5,3.126685718590324,3
1992m6,3.689804772234288,3
1992m7,2.839374779240077,3
1992m8,3.393877551020409,3
1992m9,3.688391038696532,3
1992m10,2.842824146736879,3
1992m11,3.641236958002423,3
1992m12,3.197176820737834,3
1993m1,3.311158798283259,3
1993m2,3.362384019893851,3
1993m3,3.728957120691577,3
1993m4,2.767411576755196,3
1993m5,3.448637316561863,3
1993m6,4.424361493123791,3
1993m7,3.481281823006049,3
1993m8,3.692963667763941,3
1993m9,3.671544779497049,3
1993m10,3.438465637702627,3
1993m11,3.33965611983953,3
1993m12,3.541401273885329,3
1994m1,3.314159292035384,3
1994m2,3.194202290979058,3
1994m3,3.481867377790423,3
1994m4,3.461707482562361,3
1994m5,3.608906135813328,3
1994m6,2.961224489795911,3
1994m7,3.10978043912177,3
1994m8,4.126732673267296,3
1994m9,3.925888324873087,3
1994m10,3.424752475247512,3
1994m11,3.623505172126785,3
1994m12,4.01764979217697,3
1995m1,3.632587260114974,3
1995m2,3.344991631804069,3
1995m3,3.646641138639209,3
1995m4,4.414994720168953,3
1995m5,3.644499640821464,3
1995m6,3.744059909198968,3
1995m7,3.464396284829718,3
1995m8,3.739847666064527,3
1995m9,3.448089000571342,3
1995m10,3.29938892450866,3
1995m11,3.865023474178421,3
1995m12,3.316153204319536,3
1996m1,3.616764566610503,3
1996m2,2.967874758842643,3
1996m3,4.155864843905395,3
1996m4,3.821670428893891,3
1996m5,4.052541451706123,3
1996m6,3.361075974969058,3
1996m7,4.170010559662081,3
1996m8,3.44158068867486,3
1996m9,3.769999999999988,3
1996m10,3.836895388076503,3
1996m11,3.447793546434494,3
1996m12,3.755015839493128,3
1997m1,3.401914441443379,3
1997m2,3.851978259488623,3
1997m3,3.305715619950204,3
1997m4,3.758817921830315,3
1997m5,3.608955223880578,3
1997m6,3.526613816534556,3
1997m7,3.623235613463633,3
1997m8,3.226804123711333,3
1997m9,3.303607214428866,3
1997m10,3.344417554833635,3
1997m11,3.484909456740436,3
1997m12,3.363807875978639,3
1998m1,2.778867102396509,2
1998m2,2.39125295508274,2
1998m3,2.93097718867398,2
1998m4,2.702201622247981,2
1998m5,3.058132259975575,3
1998m6,3.337121213441262,3
1998m7,2.976493860579578,2
1998m8,2.701913393756288,2
1998m9,2.845768784270108,2
1998m10,2.489479512735329,2
1998m11,2.666311300639669,2
1998m12,3.126882204861402,3
1999m1,2.99819731311073,3
1999m2,2.961373390557931,3
1999m3,3.034221502246509,3
1999m4,3.266941380863694,3
1999m5,3.178249094533946,3
1999m6,2.98267649418802,2.5
1999m7,2.854627539453188,3
1999m8,3.28302674351485,3
1999m9,3.339391385314142,3
1999m10,3.667850806231205,3
1999m11,3.27795386968498,3
1999m12,3.692531522793394,3
2000m1,3.830483119155332,3
2000m2,3.561111111111125,3
2000m3,3.945164506480545,3
2000m4,3.592786964991463,3
2000m5,3.581837381203824,3
2000m6,3.226815642458093,3
2000m7,3.372139303482608,3
