date,mean_fcast_lt_msc,med_fcast_lt_msc
1978m1,,
1978m2,,
1978m3,,
1978m4,,
1978m5,,
1978m6,,
1978m7,,
1978m8,,
1978m9,,
1978m10,,
1978m11,,
1978m12,,
1979m1,,
1979m2,6.916737468942071,7
1979m3,,
1979m4,,
1979m5,,
1979m6,,
1979m7,,
1979m8,,
1979m9,,
1979m10,,
1979m11,,
1979m12,,
1980m1,,
1980m2,7.588060405314819,9
1980m3,,
1980m4,,
1980m5,,
1980m6,,
1980m7,,
1980m8,7.235759756309673,7
1980m9,7.479364850047538,8
1980m10,,
1980m11,,
1980m12,,
1981m1,6.682659934682762,7
1981m2,5.777822049069287,5
1981m3,5.284929016038683,5
1981m4,,
1981m5,,
1981m6,,
1981m7,5.02105092033888,5
1981m8,6.161376053406898,5.5
1981m9,5.728925562100119,5
1981m10,,
1981m11,,
1981m12,,
1982m1,5.751300205782628,5
1982m2,5.237281216947838,5
1982m3,4.62825276376083,5
1982m4,,
1982m5,,
1982m6,,
1982m7,5.091262135922311,5
1982m8,6.521118598070935,6
1982m9,5.393520777937449,5
1982m10,,
1982m11,,
1982m12,,
1983m1,4.976277372262761,5
1983m2,3.893923296603817,5
1983m3,5.062103678049137,5
1983m4,,
1983m5,,
1983m6,,
1983m7,5.471973465231709,5
1983m8,5.490981963927875,5
1983m9,5.270353981222573,5
1983m10,,
1983m11,,
1983m12,,
1984m1,5.240323701933237,5
1984m2,5.435761733628568,5
1984m3,5.620802396204667,5
1984m4,,
1984m5,,
1984m6,,
1984m7,6.13770817784028,5
1984m8,5.466399314510003,5
1984m9,5.639639639639651,5
1984m10,,
1984m11,,
1984m12,,
1985m1,5.430232558139547,5
1985m2,5.645756457564615,5
1985m3,4.533004960467697,5
1985m4,,
1985m5,,
1985m6,,
1985m7,5.024562864379718,5
1985m8,4.794583818759762,5
1985m9,5.03125,5
1985m10,,
1985m11,,
1985m12,,
1986m1,,
1986m2,,
1986m3,3.936708850339231,4
1986m4,,
1986m5,,
1986m6,4.710816357995952,4
1986m7,,
1986m8,,
1986m9,4.420201805056193,4
1986m10,,
1986m11,,
1986m12,4.256458368845336,3
1987m1,,
1987m2,,
1987m3,4.281573498964832,4
1987m4,,
1987m5,,
1987m6,4.747724101268447,4
1987m7,,
1987m8,,
1987m9,3.992263056092861,3
1987m10,,
1987m11,,
1987m12,4.234256647711248,4
1988m1,,
1988m2,,
1988m3,,
1988m4,,
1988m5,,
1988m6,,
1988m7,,
1988m8,,
1988m9,,
1988m10,,
1988m11,,
1988m12,,
1989m1,,
1989m2,,
1989m3,,
1989m4,,
1989m5,,
1989m6,,
1989m7,,
1989m8,,
1989m9,,
1989m10,,
1989m11,,
1989m12,,
1990m1,,
1990m2,,
1990m3,,
1990m4,4.485023238454897,4
1990m5,4.05904761935143,4
1990m6,5.037362637362629,4
1990m7,4.41605839416057,4
1990m8,4.80266075388024,5
1990m9,4.968397291196407,5
1990m10,4.724006796058119,5
1990m11,5.043626176395197,5
1990m12,4.676328502415471,4
1991m1,4.626169061461059,5
1991m2,4.947856065260498,5
1991m3,4.883295194508031,4
1991m4,5.191721133780285,5
1991m5,4.577878103837497,5
1991m6,4.595698924731182,4
1991m7,4.927631578947357,4
1991m8,4.23246902550388,4
1991m9,3.783157894736854,4
1991m10,4.380549682875272,4
1991m11,4.51769046240488,4
1991m12,4.190578158458258,4
1992m1,4.454935622317616,3.5
1992m2,4.378558737795609,4
1992m3,4.025531914893606,4
1992m4,4.072201687109349,3
1992m5,4.718429703486059,4
1992m6,4.097222222222197,3
1992m7,3.866915828544728,3
1992m8,4,4
1992m9,4.142538975501112,3
1992m10,4.018233315236991,3
1992m11,4.443087105714674,4
1992m12,3.964628371310795,3
1993m1,3.851508120649663,4
1993m2,4.237214610540379,4
1993m3,4.255119750407776,4
1993m4,4.053162277698904,4
1993m5,3.808314087759839,3
1993m6,4.600840336134452,4
1993m7,4.167517707655886,3
1993m8,4.137365498270123,3
1993m9,3.667718854897453,3.5
1993m10,4.373947776795248,3
1993m11,4.26338914139271,4
1993m12,4.326388888888907,4
1994m1,3.525179856115098,3
1994m2,3.728766872849517,3
1994m3,4.004077383909697,4
1994m4,3.825916452726319,3
1994m5,4.165495286729458,4
1994m6,4.197765363128486,4
1994m7,4.078579117330485,3
1994m8,4.538461538461527,3
1994m9,3.572649572649561,3
1994m10,4.004301075268814,3
1994m11,4.144690950117958,3
1994m12,3.719951762370443,3
1995m1,4.052983579654357,3
1995m2,3.631358690341691,3
1995m3,3.586908734915738,3
1995m4,4.395759717314476,4
1995m5,3.44454553344928,3
1995m6,3.854915700369254,3
1995m7,3.563616071428561,3
1995m8,3.53415145508064,3
1995m9,3.640391279387018,3
1995m10,3.371620514455921,3
1995m11,3.975546975546985,3
1995m12,3.635086167924185,3
1996m1,4.058215194145655,3
1996m2,3.782011184739525,3
1996m3,4.622916574624168,3.5
1996m4,3.260869565217383,3
1996m5,4.148938033785044,3
1996m6,3.512434643026979,3
1996m7,4.070454545454568,3
1996m8,3.954163868416578,3
1996m9,3.644210526315783,3
1996m10,3.48795944233208,3
1996m11,3.405237534669906,3
1996m12,3.291759465478858,3
1997m1,3.757986242345622,3
1997m2,3.781967578798771,3
1997m3,3.351546874064752,3
1997m4,3.358452138492882,3
1997m5,3.481559536354072,3
1997m6,4.025210084033599,3
1997m7,3.598540145985422,3
1997m8,3.756823821339942,3
1997m9,3.721382289416851,3
1997m10,3.623806951123332,3
1997m11,3.856216216216232,3
1997m12,3.826681721788106,3
1998m1,3.58932714617171,3
1998m2,3.148055207026346,3
1998m3,3.574878989352636,3
1998m4,3.249343832020979,3
1998m5,3.277606622360544,3
1998m6,3.479690057363889,3
1998m7,3.012138991917492,3
1998m8,2.782754759238517,2
1998m9,3.571872646403303,3
1998m10,3.225581395348847,3
1998m11,3.156682027649786,3
1998m12,3.38479589316365,3
1999m1,3.691892370729791,3
1999m2,3.432309442548337,3
1999m3,3.163421384809794,3
1999m4,3.176147704207098,3
1999m5,3.464506898266591,3
1999m6,3.588694856033302,3
1999m7,3.005617973423901,3
1999m8,3.380263158259929,3
1999m9,3.396083671357141,3
1999m10,3.114661664098125,3
1999m11,3.562916539882368,3
1999m12,3.143464399574904,3
2000m1,3.593701136154321,3
2000m2,3.27079107505073,3
2000m3,3.543263964950711,3
2000m4,3.268979775244964,3
2000m5,3.314450867052041,3
2000m6,3.004722550177111,3
2000m7,3.230929989550672,3
2000m8,3.277145811789044,3
2000m9,3.638608305274967,3
2000m10,3.723756906077363,3
2000m11,3.612334801762125,3
2000m12,3.503619441571889,3
2001m1,3.547619047619039,3
2001m2,3.652605459057091,3
2001m3,3.608205128205107,3
2001m4,3.63692946058089,3
2001m5,3.696969696969715,3
2001m6,3.642778390297704,3
2001m7,3.137002341920379,3
2001m8,3.521186440677977,3
2001m9,2.942857142857148,3
2001m10,2.942428035043804,3
2001m11,3.175458715596315,3
2001m12,3.690531177829114,3
2002m1,2.951332560834309,3
2002m2,3.161856963613557,3
2002m3,3.277018633540367,3
2002m4,3.417945690672951,3
2002m5,3.691831683168297,3
2002m6,3.138259833134695,3
2002m7,3.323462414578584,3
2002m8,3.570719602977654,3
2002m9,3.110730593607294,3
2002m10,3.157961783439502,3
2002m11,3.403118040089103,3
2002m12,3.133918770581773,3
2003m1,3.075675675675682,3
2003m2,3.105037513397635,3
2003m3,2.94848824188129,3
2003m4,3.161458333333342,3
2003m5,3.205188679245303,3
2003m6,3.15651135005975,3
2003m7,3.082834331337345,3
2003m8,2.809836065573782,3
2003m9,2.880046136101516,3
2003m10,3.479405034324941,3
2003m11,3.181144067796602,3
2003m12,3.055958549222814,3
2004m1,3.228128460686582,3
2004m2,3.047508690614118,3
2004m3,3.43039443155453,3
2004m4,3.080545229244108,3
2004m5,3.185589519650649,3
2004m6,3.509209100758402,3
2004m7,3.290827740492178,3
2004m8,3.14434060228451,3
2004m9,3.282816229116947,3
2004m10,3.522151898734164,3
