date,skew_msc,skew_resid_power_msc,skew_msc_ma,skew_resid_power_msc_ma
1978m1,.88469291,,.82457286,
1978m2,.87288046,,.79138637,
1978m3,.88555455,,.74737829,
1978m4,.77309525,,.70175654,
1978m5,.70664114,,.69672883,
1978m6,.62545401,,.64241719,
1978m7,.48332974,,.59014446,
1978m8,.38240409,,.54714662,
1978m9,.65650749,,.50689673,
1978m10,.39588824,,.47223973,
1978m11,.40242577,,.44589698,
1978m12,.49857405,,.42059344,
1979m1,.4108462,,.40260231,
1979m2,.39472792,,.34784985,
1979m3,.38836926,,.31815413,
1979m4,.25559789,,.29021284,
1979m5,.22048402,,.25320655,
1979m6,.16373517,,.23847327,
1979m7,.12862696,,.20348917,
1979m8,.15095407,,.18256673,
1979m9,.16551757,,.1605698,
1979m10,.27824649,,.12920628,
1979m11,.079871044,,.078575023,
1979m12,.20006734,,.012595729,
1980m1,.057625521,,-.0073789661,
1980m2,-.061787587,,-.025387313,
1980m3,-.29194617,,-.0458555,
1980m4,-.46518672,,-.029576384,
1980m5,-.028818186,,-.021370769,
1980m6,.0034424467,,-.023533503,
1980m7,.094032802,,-.025298869,
1980m8,.22638309,,-.0035604928,
1980m9,.27391788,,-.005032171,
1980m10,.038160913,,.0051453696,
1980m11,-.077675886,,-.0081244409,
1980m12,-.096300781,,-.014161118,
1981m1,-.47843182,,-.021746127,
1981m2,.06277968,,-.064160772,
1981m3,-.11598585,,-.039606906,
1981m4,.039702706,,.01454524,
1981m5,.15811801,,.085671939,
1981m6,-.10781394,,.17572179,
1981m7,.25914571,,.19842638,
1981m8,.40969345,,.20961125,
1981m9,.54383951,,.22558612,
1981m10,.33201689,,.21201113,
1981m11,.26712099,,.25146535,
1981m12,-.015322071,,.21374199,
1982m1,.18347657,,.22338784,
1982m2,.035943042,,.20047073,
1982m3,.24727413,,.22260907,
1982m4,-.080364548,,.24605598,
1982m5,.49650607,,.29818177,
1982m6,.33758551,,.3021743,
1982m7,.53126192,,.30992338,
1982m8,.47814313,,.32807863,
1982m9,.45381013,,.41713285,
1982m10,.21940921,,.3929759,
1982m11,.10568485,,.35300782,
1982m12,.41067126,,.39139396,
1983m1,.72112352,,.33974582,
1983m2,.27909347,,.36902338,
1983m3,-.022126967,,.42787269,
1983m4,.87673694,,.55708659,
1983m5,.013310071,,.62337995,
1983m6,.71730816,,.63638961,
1983m7,.74905288,,.67220479,
1983m8,1.26861,,.71861351,
1983m9,1.0073115,,.69472086,
1983m10,.83821052,,.78124851,
1983m11,.60143024,,.75283945,
1983m12,.39555132,,.79837191,
1984m1,.66170323,,.69522101,
1984m2,.79205883,,.68917215,
1984m3,.46162635,,.72731489,
1984m4,1.1588454,,.76698649,
1984m5,.34025192,,.8909409,
1984m6,.95287138,,.90085816,
1984m7,1.1814954,,.90620631,
1984m8,.95847428,,.88257772,
1984m9,1.5111415,,.8697052,
1984m10,.75095809,,.90522099,
1984m11,.84019226,,.8998211,
1984m12,.24896911,,.89444327,
1985m1,1.0429926,,.88364995,
1985m2,.65989405,,.81324732,
1985m3,.90427274,,.83905458,
1985m4,1.1330948,,.91542172,
1985m5,.86133444,,.99562675,
1985m6,.87751764,,1.0044649,
1985m7,.98322392,,1.0346298,
1985m8,1.5274962,,1.041132,
1985m9,.97081459,,1.0259832,
1985m10,1.1225353,,1.0800505,
1985m11,.9313786,,.99741453,
1985m12,.96279204,,.94559592,
1986m1,.99675626,,.84021312,
1986m2,1.3479391,,.79835099,
1986m3,.13379464,,.68779624,
1986m4,.51685655,,.58310735,
1986m5,.57905078,,.47884837,
1986m6,.59405559,,.43610409,
1986m7,.12754247,,.31868464,
1986m8,-.010821492,,.3486571,
1986m9,.0244615,,.36496809,
1986m10,.61205775,,.40837714,
1986m11,.29116383,,.45248091,
1986m12,.40354687,,.59081572,
1987m1,.66365552,,.7464841,
1987m2,.96973217,,.87780613,
1987m3,.99098951,,.98098856,
1987m4,1.3725557,,1.1153632,
1987m5,1.3901938,,1.2578468,
1987m6,1.2063601,,1.2326499,
1987m7,1.5406996,,1.2275859,
1987m8,1.5005362,,1.1623567,
1987m9,1.6858993,,1.1071981,
1987m10,.43688303,,1.0871602,
1987m11,.92415553,,1.0592647,
1987m12,.40392753,,1.0128895,
1988m1,.87612802,,.90189272,
1988m2,1.2098531,,.83154535,
1988m3,.95529944,,.90723187,
1988m4,1.1233233,,.92720145,
1988m5,.5015651,,1.0568109,
1988m6,1.0527729,,.98809898,
1988m7,1.1180621,,.93966264,
1988m8,1.1038814,,.98103625,
1988m9,1.5704125,,1.0273184,
1988m10,.25772074,,1.0947136,
1988m11,.77392602,,1.0888017,
1988m12,1.327662,,1.0259607,
1989m1,1.539862,,.9701153,
1989m2,1.1081227,,.90150005,
1989m3,.99956572,,1.0415375,
1989m4,.55249351,,1.0789515,
1989m5,.60127246,,1.0438895,
1989m6,.95287502,,.98979014,
1989m7,1.5180577,,1.0464778,
