date,skew_lt_msc,skew_resid_lt_power_msc,skew_lt_msc_ma,skew_resid_lt_power_msc_ma
1978m1,,,,
1978m2,,,,
1978m3,,,,
1978m4,,,,
1978m5,,,,
1978m6,,,,
1978m7,,,,
1978m8,,,,
1978m9,,,,
1978m10,,,,
1978m11,,,,
1978m12,,,,
1979m1,,,,
1979m2,.48721683,,.48721683,
1979m3,,,,
1979m4,,,,
1979m5,,,,
1979m6,,,,
1979m7,,,,
1979m8,,,,
1979m9,,,,
1979m10,,,,
1979m11,,,,
1979m12,,,,
1980m1,,,,
1980m2,-.79306507,,-.79306507,
1980m3,,,,
1980m4,,,,
1980m5,,,,
1980m6,,,,
1980m7,,,,
1980m8,-.22174668,,-.3330211,
1980m9,-.44429556,,-.30465287,
1980m10,,,,
1980m11,,,,
1980m12,,,,
1981m1,-.24791636,,-.31482521,
1981m2,-.15508044,,-.2716684,
1981m3,-.41200843,,-.32901236,
1981m4,,,,
1981m5,,,,
1981m6,,,,
1981m7,-.50104427,,-.24545114,
1981m8,.075489186,,-.18993203,
1981m9,-.14424102,,-.18249822,
1981m10,,,,
1981m11,,,,
1981m12,,,,
1982m1,-.16019675,,-.094114855,
1982m2,.178572,,-.077406131,
1982m3,-.25059363,,-.093132704,
1982m4,,,,
1982m5,,,,
1982m6,,,,
1982m7,-.14031242,,-.23431407,
1982m8,-.11747535,,-.22888756,
1982m9,-.42887488,,-.25738049,
1982m10,,,,
1982m11,,,,
1982m12,,,,
1983m1,-.34285927,,-.15545389,
1983m2,.04774794,,-.064313561,
1983m3,.10217064,,-.03321223,
1983m4,,,,
1983m5,,,,
1983m6,,,,
1983m7,.060091779,,.17404549,
1983m8,.84347177,,.19800377,
1983m9,-.30955222,,.2477819,
1983m10,,,,
1983m11,,,,
1983m12,,,,
1984m1,.39711627,,.33261633,
1984m2,.66018063,,.54667246,
1984m3,.58272058,,.41343611,
1984m4,,,,
1984m5,,,,
1984m6,,,,
1984m7,.013726954,,.60395682,
1984m8,.91950524,,.61103559,
1984m9,.89987457,,.57460243,
1984m10,,,,
1984m11,,,,
1984m12,,,,
1985m1,.46530294,,.37695962,
1985m2,.10031628,,.20265463,
1985m3,.042344652,,.32980159,
1985m4,,,,
1985m5,,,,
1985m6,,,,
1985m7,.7112425,,.53669047,
1985m8,.80356294,,.7014724,
1985m9,.58961183,,.7014724,
1985m10,,,,
1985m11,,,,
1985m12,,,,
1986m1,,,,
1986m2,,,,
1986m3,.1489857,,.73300236,
1986m4,,,,
1986m5,,,,
1986m6,1.317019,,.9362576,
1986m7,,,,
1986m8,,,,
1986m9,1.3427681,,1.0980264,
1986m10,,,,
1986m11,,,,
1986m12,.63429201,,.90486324,
1987m1,,,,
1987m2,,,,
1987m3,.7375297,,.62356848,
1987m4,,,,
1987m5,,,,
1987m6,.49888375,,.71733814,
1987m7,,,,
1987m8,,,,
1987m9,.91560102,,.12220177,
1987m10,,,,
1987m11,,,,
1987m12,-1.0478795,,-.066139221,
1988m1,,,,
1988m2,,,,
1988m3,,,,
1988m4,,,,
1988m5,,,,
1988m6,,,,
1988m7,,,,
1988m8,,,,
1988m9,,,,
1988m10,,,,
1988m11,,,,
1988m12,,,,
1989m1,,,,
1989m2,,,,
1989m3,,,,
1989m4,,,,
1989m5,,,,
1989m6,,,,
1989m7,,,,
1989m8,,,,
1989m9,,,,
1989m10,,,,
1989m11,,,,
1989m12,,,,
1990m1,,,,
1990m2,,,,
1990m3,,,,
1990m4,.57158887,,.91426772,
1990m5,.3666673,,.96478313,
1990m6,1.2443603,,1.0068825,
1990m7,1.0197614,,.95357203,
1990m8,1.3689607,,.91129863,
1990m9,1.2173603,,.79970944,
1990m10,1.2594789,,.81263876,
1990m11,.5803982,,.83177149,
1990m12,.57311147,,.87028408,
1991m1,-.43271351,,.81277156,
1991m2,.48303077,,.85333258,
1991m3,1.4165554,,.84403127,
1991m4,1.3663744,,.86782318,
1991m5,.85134798,,.69159585,
1991m6,1.5824096,,.89691895,
1991m7,1.1757671,,.92849845,
1991m8,.79452562,,.84809315,
1991m9,-1.0129344,,.85397041,
1991m10,1.4151942,,.86994678,
1991m11,.76724648,,.62240106,
1991m12,.69290751,,.48370081,
1992m1,1.4192696,,.5300954,
1992m2,.99513537,,.70197928,
1992m3,-.64550179,,.57080817,
1992m4,-.072535262,,.37555096,
1992m5,1.212077,,.45036459,
1992m6,.53402048,,.43029243,
1992m7,.23465435,,.40371788,
1992m8,-.99006873,,.62233669,
1992m9,1.3662302,,.51801616,
1992m10,1.23862,,.48196,
1992m11,.75596464,,.54198992,
1992m12,1.3220673,,.63616341,
1993m1,-1.0114201,,.80832243,
1993m2,.88757175,,.81623429,
1993m3,1.0742899,,.84180421,
1993m4,1.0822158,,.84736055,
1993m5,.55936235,,.67459488,
1993m6,1.4374371,,.89979094,
1993m7,1.4687492,,.83016557,
1993m8,.80597198,,.81257057,
1993m9,-.23282409,,.77534443,
1993m10,1.0153444,,.84406984,
1993m11,.26094359,,.59067112,
1993m12,.9159348,,.64727354,
1994m1,.7471804,,.6822384,
1994m2,1.1778915,,.84369057,
1994m3,-.84315187,,.86684817,
1994m4,1.9781713,,1.0282699,
1994m5,1.1206554,,1.0359408,
1994m6,1.2202457,,1.1254416,
1994m7,1.2237625,,1.117716,
1994m8,1.7137393,,1.3274826,
1994m9,.98497289,,1.3351822,
1994m10,1.5526868,,1.3364373,
1994m11,1.1083614,,1.2379546,
1994m12,1.0447477,,1.284129,
1995m1,2.0474675,,1.1597046,
1995m2,1.1319519,,1.2399862,
1995m3,.33390182,,1.2080828,
1995m4,1.6393321,,1.2670102,
1995m5,.59391916,,1.3644167,
1995m6,1.707507,,1.2260303,
1995m7,1.2655562,,1.2839333,
1995m8,1.6387085,,1.3926588,
1995m9,1.9214067,,1.316236,
1995m10,.80198956,,1.3758833,
1995m11,1.6530787,,1.4042555,
1995m12,1.3124316,,1.3900672,
1996m1,.95152682,,1.3979633,
1996m2,1.1307454,,1.2928874,
1996m3,1.9628561,,1.4544355,
1996m4,1.1378613,,1.4848201,
1996m5,1.7097738,,1.5098099,
1996m6,.97572356,,1.6235691,
1996m7,2.2559218,,1.6346161,
1996m8,1.9265404,,1.4885809,
1996m9,1.5373392,,1.5964707,
1996m10,1.9753605,,1.5929748,
1996m11,1.2301685,,1.672964,
1996m12,.64853913,,1.4716781,
1997m1,2.1088693,,1.4309722,
1997m2,1.6783111,,1.4457551,
1997m3,1.6956257,,1.332862,
1997m4,.44434997,,1.3844275,
1997m5,1.560187,,1.3866253,
1997m6,1.6703846,,1.1621153,
1997m7,.95932299,,1.1453302,
1997m8,1.694258,,1.1125667,
1997m9,.66831928,,1.2372612,
1997m10,.088279091,,1.1578308,
1997m11,1.5272447,,1.1170774,
1997m12,1.4007545,,1.1723089,
1998m1,1.5666008,,1.1357167,
1998m2,.84531343,,1.1881478,
1998m3,1.3036029,,1.324264,
1998m4,1.4564078,,1.2350993,
1998m5,1.3649273,,1.2297667,
1998m6,1.1401998,,1.2322482,
1998m7,1.3133248,,1.1537261,
1998m8,.7247628,,1.0973281,
1998m9,1.3527613,,1.1186146,
1998m10,1.5889337,,1.0637994,
1998m11,.13861446,,.97546649,
1998m12,.79602093,,.91766739,
1999m1,1.6479859,,.99857324,
1999m2,.87159038,,1.0063869,
1999m3,.34520411,,.84690464,
1999m4,.79313296,,.97125894,
1999m5,1.4529157,,1.0330319,
1999m6,1.4230834,,1.0213063,
1999m7,.15359381,,1.0333116,
1999m8,1.2578031,,1.0520368,
1999m9,1.3519781,,1.0870661,
1999m10,1.5424548,,.95616144,
1999m11,.97963887,,.87969917,
1999m12,.51372969,,1.0744654,
2000m1,1.1083972,,1.0123847,
2000m2,.27477393,,.91410512,
2000m3,.73492306,,.91679525,
2000m4,1.9064895,,.93014359,
2000m5,.69907701,,1.0504768,
2000m6,.46746206,,1.1118896,
2000m7,1.5666658,,1.3253249,
2000m8,1.0997742,,1.3130827,
