date,st_dev_msc,st_dev_resid_power_msc,st_dev_msc_ma,st_dev_resid_power_msc_ma
1978m1,3.9173925,,4.34445,
1978m2,4.6166449,,4.3426127,
1978m3,4.3726387,,4.3223543,
1978m4,4.0475073,,4.3720975,
1978m5,4.7680664,,4.3931341,
1978m6,4.3334265,,4.425478,
1978m7,4.2008047,,4.3980436,
1978m8,4.7202978,,4.3640079,
1978m9,4.561429,,4.3777251,
1978m10,4.208487,,4.3681507,
1978m11,4.3697357,,4.3958421,
1978m12,4.0663176,,4.4586382,
1979m1,4.1709595,,4.4944201,
1979m2,4.6818991,,4.555716,
1979m3,4.5826473,,4.6873102,
1979m4,4.7659707,,4.7952099,
1979m5,5.0423346,,4.909122,
1979m6,5.1130948,,5.0019202,
1979m7,5.3928313,,5.082859,
1979m8,5.3408327,,5.169095,
1979m9,5.0915275,,5.2162695,
1979m10,5.0061426,,5.2282333,
1979m11,5.4103513,,5.3616595,
1979m12,5.358768,,5.5079198,
1980m1,5.1905432,,5.6559472,
1980m2,5.1500072,,5.7809267,
1980m3,6.3139305,,5.8828502,
1980m4,6.7091742,,5.873982,
1980m5,6.67308,,5.9001255,
1980m6,6.2163415,,5.9874349,
1980m7,5.9234543,,6.0610662,
1980m8,5.3305402,,6.0170836,
1980m9,5.5940604,,5.914114,
1980m10,5.9763265,,5.7950411,
1980m11,5.8126879,,5.7436814,
1980m12,5.918088,,5.7534323,
1981m1,5.7824473,,5.7924013,
1981m2,5.6014218,,5.7983556,
1981m3,5.7541046,,5.7396688,
1981m4,6.0112128,,5.731472,
1981m5,5.6812634,,5.7334042,
1981m6,5.647646,,5.7263575,
1981m7,5.4481497,,5.7394462,
1981m8,5.7389159,,5.7987289,
1981m9,5.9354773,,5.7190504,
1981m10,5.7190256,,5.6907225,
1981m11,5.7192183,,5.6798882,
1981m12,6.287652,,5.7535262,
1982m1,5.2941046,,5.7474494,
1982m2,5.4263134,,5.7395921,
1982m3,5.5501361,,5.685627,
1982m4,6.1108942,,5.6655493,
1982m5,5.6842246,,5.5611787,
1982m6,5.8647609,,5.6205921,
1982m7,5.2333388,,5.6678867,
1982m8,5.538517,,5.6341248,
1982m9,5.3483181,,5.474369,
1982m10,5.8288274,,5.4098186,
1982m11,5.851965,,5.3264899,
1982m12,5.2462759,,5.2383494,
1983m1,4.6730952,,5.1381845,
1983m2,5.1032705,,5.0074878,
1983m3,5.1148005,,4.8893857,
1983m4,4.4400773,,4.7622104,
1983m5,4.6370311,,4.6887083,
1983m6,4.1720467,,4.7258806,
1983m7,4.7659111,,4.6892385,
