date,st_dev_lt_msc,st_dev_resid_lt_power_msc,st_dev_lt_msc_ma,st_dev_resid_lt_power_msc_ma
1978m1,,,,
1978m2,,,,
1978m3,,,,
1978m4,,,,
1978m5,,,,
1978m6,,,,
1978m7,,,,
1978m8,,,,
1978m9,,,,
1978m10,,,,
1978m11,,,,
1978m12,,,,
1979m1,,,,
1979m2,4.1788797,,4.1788797,
1979m3,,,,
1979m4,,,,
1979m5,,,,
1979m6,,,,
1979m7,,,,
1979m8,,,,
1979m9,,,,
1979m10,,,,
1979m11,,,,
1979m12,,,,
1980m1,,,,
1980m2,6.1115079,,6.1115079,
1980m3,,,,
1980m4,,,,
1980m5,,,,
1980m6,,,,
1980m7,,,,
1980m8,5.7580242,,5.8651628,
1980m9,5.972301,,5.9284568,
1980m10,,,,
1980m11,,,,
1980m12,,,,
1981m1,6.0550447,,5.9516945,
1981m2,5.4729719,,5.9448256,
1981m3,6.3064599,,5.9566989,
1981m4,,,,
1981m5,,,,
1981m6,,,,
1981m7,5.9923186,,6.1459627,
1981m8,6.067276,,6.092464,
1981m9,6.2177973,,5.9169168,
1981m10,,,,
1981m11,,,,
1981m12,,,,
1982m1,5.3902755,,5.8341713,
1982m2,5.9486303,,5.706296,
1982m3,5.7799816,,5.6263576,
1982m4,,,,
1982m5,,,,
1982m6,,,,
1982m7,5.3865433,,5.6400809,
1982m8,5.5564494,,5.5934477,
1982m9,5.8373499,,5.5808764,
1982m10,,,,
1982m11,,,,
1982m12,,,,
1983m1,5.5431633,,5.5256805,
1983m2,5.6156759,,5.4217906,
1983m3,5.1065331,,5.3345051,
1983m4,,,,
1983m5,,,,
1983m6,,,,
1983m7,5.0726471,,5.0970464,
1983m8,4.9913259,,5.0938845,
1983m9,5.21768,,4.9554963,
1983m10,,,,
1983m11,,,,
1983m12,,,,
1984m1,4.5403318,,4.8358822,
1984m2,4.6630621,,4.7086163,
1984m3,4.9224548,,4.8247361,
1984m4,,,,
1984m5,,,,
1984m6,,,,
1984m7,5.1730957,,4.7965713,
1984m8,4.6439209,,4.7546101,
1984m9,4.4468136,,4.7570753,
1984m10,,,,
1984m11,,,,
1984m12,,,,
1985m1,4.7644711,,4.8152418,
1985m2,4.8882494,,4.9380512,
1985m3,5.1614327,,4.8513517,
1985m4,,,,
1985m5,,,,
1985m6,,,,
1985m7,4.5912533,,4.6403255,
1985m8,4.1453595,,4.4666228,
1985m9,4.6632557,,4.4666228,
1985m10,,,,
1985m11,,,,
1985m12,,,,
1986m1,,,,
1986m2,,,,
1986m3,4.4021459,,4.1503568,
1986m4,,,,
1986m5,,,,
1986m6,3.8985677,,4.0395384,
1986m7,,,,
1986m8,,,,
1986m9,3.8179014,,4.0753484,
1986m10,,,,
1986m11,,,,
1986m12,4.5095758,,4.1512642,
1987m1,,,,
1987m2,,,,
1987m3,4.1263151,,4.3904009,
1987m4,,,,
1987m5,,,,
1987m6,4.5353117,,3.9998932,
1987m7,,,,
1987m8,,,,
1987m9,3.338053,,4.2668076,
1987m10,,,,
1987m11,,,,
1987m12,4.9270587,,4.132556,
1988m1,,,,
1988m2,,,,
1988m3,,,,
1988m4,,,,
1988m5,,,,
1988m6,,,,
1988m7,,,,
1988m8,,,,
1988m9,,,,
1988m10,,,,
1988m11,,,,
1988m12,,,,
1989m1,,,,
1989m2,,,,
1989m3,,,,
1989m4,,,,
1989m5,,,,
1989m6,,,,
1989m7,,,,
1989m8,,,,
1989m9,,,,
1989m10,,,,
1989m11,,,,
1989m12,,,,
1990m1,,,,
1990m2,,,,
1990m3,,,,
1990m4,4.040751,,3.9090104,
1990m5,3.6292775,,3.9742854,
1990m6,4.073616,,3.9965954,
1990m7,4.031136,,4.0567966,
1990m8,3.7702715,,4.0978079,
1990m9,4.3006601,,4.1319494,
1990m10,4.1304555,,4.1520944,
1990m11,4.4782033,,4.148345,
1990m12,4.4259009,,4.1562228,
1991m1,4.348022,,4.1692381,
1991m2,3.8105848,,4.0693359,
1991m3,4.0398717,,3.9989147,
1991m4,4.1020365,,3.8935475,
1991m5,3.8874071,,3.8070705,
1991m6,3.4015405,,3.8042676,
1991m7,3.4966667,,3.88519,
1991m8,3.5298977,,3.8791974,
1991m9,3.6476085,,3.8588524,
1991m10,4.3227954,,3.8735638,
1991m11,4.5388856,,3.9207284,
1991m12,3.9859381,,4.0254908,
1992m1,3.9189312,,4.0412383,
1992m2,4.0198112,,4.0694747,
1992m3,3.826021,,4.0094428,
1992m4,4.439527,,3.9834261,
1992m5,3.6716256,,3.954951,
1992m6,3.9017355,,3.9263351,
1992m7,3.7825098,,3.9105797,
1992m8,4.3047347,,3.854496,
1992m9,3.7296641,,3.8200071,
1992m10,3.6613872,,3.7984433,
1992m11,3.8780112,,3.7613802,
1992m12,3.321269,,3.7816169,
1993m1,4.129127,,3.7459645,
1993m2,3.4775512,,3.7568226,
1993m3,3.5681677,,3.7859221,
1993m4,3.9646397,,3.8046687,
1993m5,3.9838638,,3.9430408,
1993m6,3.8273871,,3.9191761,
1993m7,3.9232824,,3.9901235,
1993m8,4.046731,,4.0468388,
1993m9,4.566617,,3.960597,
1993m10,3.9143457,,3.8566399,
1993m11,4.1160769,,3.8897715,
1993m12,4.0786057,,3.8120527,
1994m1,3.1884627,,3.7646775,
1994m2,3.04825,,3.6284299,
1994m3,4.1255717,,3.6339686,
1994m4,3.2238138,,3.5637655,
1994m5,3.6203535,,3.4463129,
1994m6,3.3403893,,3.4527311,
1994m7,3.9641929,,3.5121605,
1994m8,3.4842513,,3.3905034,
1994m9,3.0215304,,3.4051318,
1994m10,3.2462268,,3.339169,
1994m11,3.5831163,,3.3376224,
1994m12,3.0306566,,3.2475379,
1995m1,3.3554695,,3.16745,
1995m2,3.0266876,,3.1910517,
1995m3,3.3264699,,3.1807165,
1995m4,3.1534333,,3.1588447,
1995m5,2.7634585,,3.1920223,
1995m6,3.233947,,3.116734,
1995m7,3.1532102,,3.1478763,
1995m8,3.3862698,,3.1121905,
1995m9,3.3292544,,3.1172163,
1995m10,2.677876,,3.1227946,
1995m11,3.3069675,,3.1679747,
1995m12,3.0052967,,3.1287003,
1996m1,3.1986663,,3.1426537,
1996m2,2.813664,,3.1309416,
1996m3,3.6405685,,3.214561,
1996m4,2.7997401,,3.1816213,
1996m5,3.5118489,,3.1948869,
1996m6,3.2238464,,3.2163012,
1996m7,3.4304504,,3.237278,
1996m8,3.0105109,,3.1278381,
1996m9,3.1246865,,3.1378114,
1996m10,3.3913956,,3.0965931,
1996m11,3.002455,,3.0485907,
1996m12,2.6556094,,2.9838064,
1997m1,2.8895001,,2.9771035,
1997m2,3.140883,,2.9764929,
1997m3,2.7918251,,2.9911315,
1997m4,2.8473914,,3.0460284,
1997m5,2.9501863,,3.0399089,
1997m6,3.1191895,,3.1280696,
1997m7,3.523145,,3.1685526,
1997m8,3.496526,,3.2153244,
1997m9,2.6005332,,3.2169514,
1997m10,3.6829467,,3.1889281,
1997m11,3.5052302,,3.2115791,
1997m12,3.2127712,,3.0848937,
1998m1,2.8620338,,3.0242417,
1998m2,2.6979778,,3.011404,
1998m3,3.3230476,,2.8580513,
1998m4,2.382977,,2.7454193,
1998m5,2.9506574,,2.7061033,
1998m6,2.4849939,,2.6917682,
1998m7,2.302772,,2.7224681,
1998m8,2.4915426,,2.6708219,
1998m9,2.8589277,,2.7147763,
1998m10,2.7330177,,2.6843231,
1998m11,2.9742763,,2.7008524,
1998m12,2.858232,,2.7425747,
1999m1,2.7785666,,2.757818,
1999m2,2.6765788,,2.7331204,
1999m3,2.6337581,,2.712949,
1999m4,2.678272,,2.7248333,
1999m5,2.6287332,,2.7202704,
1999m6,2.6366484,,2.6817796,
1999m7,2.5514753,,2.6873016,
1999m8,3.0812349,,2.7034557,
1999m9,2.8171656,,2.6964145,
1999m10,2.4321508,,2.6909149,
1999m11,2.7262764,,2.7549973,
1999m12,2.7791443,,2.8090832,
2000m1,2.6149023,,2.7680945,
2000m2,2.579236,,2.8302388,
