date,skew_sce,skew_resid_sce,skew_sce_ma,skew_resid_sce_ma
2013m1,,,,
2013m2,,,,
2013m3,,,,
2013m4,,,,
2013m5,,,,
2013m6,.7546798,.3720057,.30358356,.025048217
2013m7,.45104504,.18915953,.10388253,-.16478278
2013m8,.52031428,.22635224,.1008661,-.18906257
2013m9,-.22879557,-.30987605,.15720002,-.13653907
2013m10,.020674311,-.35240033,.11538553,-.19241841
2013m11,-.89462268,-1.1139377,.030098625,-.26211622
2013m12,.082767561,-.33474135,-.13790342,-.44298211
2014m1,.55153751,.23112541,-.13647315,-.43490747
2014m2,-.21913043,-.63945305,-.18043907,-.51401138
2014m3,-.012902386,-.25527474,-.19662327,-.51837707
2014m4,-1.0609734,-1.4386333,-.14019789,-.49430415
2014m5,.53318673,.29902411,-.16055162,-.49616736
2014m6,-.62448883,-1.0218114,-.25215313,-.59646916
2014m7,-.12498349,-.39169168,-.22514151,-.54054445
2014m8,-.38679427,-.89728135,-.27614707,-.59431505
2014m9,-.10041603,-.35151017,-.20922707,-.50291371
2014m10,-.27287611,-.67159104,-.2908794,-.58597273
2014m11,.023974136,-.13613029,-.24808693,-.54083973
2014m12,-.47195241,-.73921037,-.31977397,-.61371142
2015m1,-.45869336,-.61602151,-.21627253,-.47844905
2015m2,-.20168413,-.4485065,-.15139244,-.41033411
2015m3,-.23935668,-.61561489,-.093287215,-.3372471
2015m4,-.77016687,-1.0475364,-.16035728,-.40931633
2015m5,.54471868,.32007983,-.097807549,-.34280211
2015m6,.48350468,.2615242,-.10886616,-.37974522
2015m7,.25007105,-.013807974,-.21468514,-.50347042
2015m8,-.57965648,-.78475332,-.18571012,-.4654578
2015m9,.090995185,-.14058234,-.0861523,-.35645214
2015m10,-.55822086,-.94850963,-.11454353,-.3894577
2015m11,-1.154055,-1.5620332,-.17915504,-.44927937
2015m12,.021418566,-.27350152,-.18338716,-.45218956
2016m1,.12585351,-.06648533,-.19518217,-.50372899
2016m2,.28919762,.023029769,-.15041125,-.43104991
2016m3,-.097998887,-.27687085,-.075663969,-.3672834
2016m4,.21198192,-.0399996,.007673841,-.27140546
2016m5,-.68581164,-1.2486084,.037948277,-.24335289
2016m6,.49393347,.5135296,.027599812,-.27875772
2016m7,.11450471,-.37461129,-.048547346,-.33070913
2016m8,-.40401471,-.69913149,-.08114896,-.37189341
2016m9,.29388848,-.021028491,-.15989298,-.4495551
2016m10,.032717325,-.38512868,-.14775112,-.4028545
2016m11,-.39612678,-.44453302,-.27623826,-.56455356
2016m12,-.39141345,-.64752942,-.27205902,-.53854245
2017m1,-.49671423,-.73895466,-.25660092,-.51527345
2017m2,-.57653487,-.82830316,-.32184428,-.57670319
2017m3,-.66245073,-.94176161,-.33927956,-.56709832
2017m4,.15211783,-.14051162,-.35259756,-.6174559
2017m5,-.26489183,-.48971018,-.30641192,-.57827514
2017m6,-.29330176,-.57389653,-.32997885,-.60504556
2017m7,-.12420023,-.29868454,-.35911432,-.64524573
2017m8,-.51598883,-.89775163,-.24196623,-.53644872
2017m9,.02425725,-.29490221,-.30076441,-.60482752
2017m10,-.70881653,-.97988832,-.29284969,-.6021024
2017m11,-.83875412,-1.1901047,-.31478077,-.64272285
2017m12,.39188209,.037411273,-.32838354,-.67772585
2018m1,-.37706587,-.75592071,-.3298592,-.67104626
2018m2,-.19365914,-.46518418,-.24417248,-.57324183
2018m3,-.49068162,-.93948072,-.21772113,-.55378169
2018m4,-.24662499,-.61371166,-.096363366,-.43131247
2018m5,-.52926975,-.8376348,-.11276101,-.45756662
2018m6,.79543751,.58533764,-.065585755,-.42205936
2018m7,-.47075436,-.80474734,-.068046808,-.45028138
2018m8,.25346586,-.087881833,-.078930631,-.47008505
2018m9,.24430332,-.19887596,-.107932,-.47944182
2018m10,.047511395,-.43635544,-.1527797,-.49822897
2018m11,-.21580862,-.71918225,-.21412444,-.57164335
2018m12,-.58863604,-1.1177139,-.20146757,-.53877777
2019m1,-.50763732,-.69792253,-.24717943,-.57484704
2019m2,-.932899,-1.0067191,-.31911719,-.62441385
2019m3,.2433348,-.075391762,-.34663749,-.61989391
2019m4,-.35684255,-.50895697,-.31957904,-.5648759
2019m5,-.15794085,-.41250518,-.22663473,-.44280136
2019m6,-.40313661,-.64497733,-.18005566,-.39642265
2019m7,-.20017131,-.39567611,-.026269361,-.27563459
2019m8,.027717467,-.22402006,-.034426335,-.26231229
2019m9,.2478628,-.019043095,.033728439,-.21854895
2019m10,-.088425688,-.28051421,.017333683,-.23043482
2019m11,.45117769,.080373384,.0051900633,-.23611899
2019m12,.16992204,.044508863,.030686744,-.19238763
2020m1,.2565504,-.11508689,-.00040994916,-.21444359
2020m2,-.30549365,-.51947796,-.03900528,-.23520795
2020m3,-.51242918,-.69613481,-.094004616,-.28792632
2020m4,.02929882,-.0020938227,-.15146703,-.32523465
2020m5,-.25215277,-.42252377,-.18715492,-.3804628
2020m6,-.099495158,-.20592226,-.22937064,-.37463427
