date,skew_lt_sce,skew_resid_lt_sce,skew_lt_sce_ma,skew_resid_lt_sce_ma
2013m1,,,,
2013m2,,,,
2013m3,,,,
2013m4,,,,
2013m5,,,,
2013m6,.78268886,.45395911,.22189187,-.0031216303
2013m7,.1568628,-.079612061,.17378032,-.039557952
2013m8,.18897454,-.0052128783,.088357903,-.17533068
2013m9,-.74811232,-.97820401,-.00062036514,-.28239107
2013m10,.72904545,.59346169,-.034015536,-.3054339
2013m11,-.066777423,-.22173956,-.14139466,-.40903759
2013m12,-.4241766,-.98996711,-.26401475,-.53025371
2014m1,-.62346822,-1.0318139,-.38697964,-.65815043
2014m2,-.30117691,-.48977652,-.42463893,-.68706268
2014m3,-.18372327,-.47847399,-.53174931,-.7954576
2014m4,-.94671798,-1.1705571,-.53817242,-.8278203
2014m5,-.91770959,-1.1562835,-.44379437,-.68382907
2014m6,-1.0870457,-1.238414,-.37045866,-.6067664
2014m7,-.23494831,-.3820928,-.35318041,-.59220558
2014m8,-.12458526,-.51300383,-.40877041,-.63787353
2014m9,.42522588,.30595392,-.26891837,-.48369086
2014m10,.036553103,-.33824983,-.25296554,-.46866241
2014m11,-.14567272,-.35872927,-.16137813,-.39070401
2014m12,-.68403316,-.88948518,-.17549227,-.42331484
2015m1,.31195036,.21708672,-.14565976,-.38268369
2015m2,-.7741341,-1.0210274,-.20474058,-.47107968
2015m3,-.26275897,-.53678828,-.19938745,-.44431633
2015m4,-.36197552,-.67559034,-.30479461,-.56132543
2015m5,.14390732,-.14732356,-.19951691,-.46784109
2015m6,-.10650156,-.48960987,-.22797908,-.50705701
2015m7,.084731348,-.097379759,-.18691584,-.46210384
2015m8,-1.0943372,-1.4118111,-.094962828,-.34686828
2015m9,.26346618,-.048126075,-.057181075,-.29437554
2015m10,.055790853,-.1358567,-.0012686822,-.23595305
2015m11,-.40456501,-.61644882,-.031225046,-.21211106
2015m12,.56481814,.50033176,-.050016407,-.25116464
2016m1,-.021939741,-.20315582,.17442939,-.033074927
2016m2,.64711887,.37847894,.10004934,-.10452964
2016m3,-.37610883,-.27503192,.14019784,-.095142886
2016m4,-.084390901,-.44886208,.22562626,-.0096789179
2016m5,.92567492,.55099636,.17017181,-.085364707
2016m6,-.40595424,-.6912185,.14009312,-.13497934
2016m7,.41712734,-.051375933,.015988119,-.2439419
2016m8,.36429074,.15272692,.053154107,-.25212279
2016m9,.065728098,-.18084036,.0014584201,-.27723411
2016m10,-.29264799,-.64968747,-.19763896,-.46529043
2016m11,-.46982607,-.60218412,-.20262033,-.46039706
2016m12,-.041614916,-.34865984,-.29348841,-.54279405
2017m1,-.5496521,-.67486411,-.29693049,-.53634852
2017m2,-.86620146,-1.1415105,-.33952206,-.58621287
2017m3,-.45078656,-.64717811,-.29222095,-.52280921
2017m4,-.40068543,-.79294866,-.19391623,-.45030841
2017m5,.33331206,.21073635,-.29071322,-.54655391
2017m6,-.31759614,-.62961954,-.22996387,-.49307746
2017m7,.13306212,-.079054222,-.16622998,-.4433752
2017m8,.4149164,.050322805,-.13520701,-.43017316
2017m9,-.91278797,-1.2148694,-.096383013,-.38200611
2017m10,-.0029078771,-.19357595,-.23010539,-.54100126
2017m11,-.2925964,-.69419003,-.25478518,-.56259835
2017m12,-.17157987,-.52835989,-.3334913,-.64125109
2018m1,-.051269475,-.3594451,-.34285662,-.63530368
2018m2,-.87018925,-1.22022,-.29188269,-.58314693
2018m3,-.53971434,-.82399344,-.30785155,-.60429406
2018m4,-.57529283,-.78692865,-.15254398,-.42415735
2018m5,.33062834,.1038494,-.16346608,-.41924027
2018m6,-.45402268,-.74545848,-.29474163,-.55892211
2018m7,-.14662759,-.38390055,-.093412399,-.34840649
2018m8,1.1051719,.92704058,-.12076326,-.38116747
2018m9,-.26987883,-.48410624,-.17930825,-.43588915
2018m10,-1.2327495,-1.6165818,-.27727214,-.53019655
2018m11,.94177389,.67442071,-.33878285,-.58760715
2018m12,-.78587216,-1.1188421,-.29063433,-.53345114
2019m1,-1.1021976,-1.279424,-.41044247,-.65347999
2019m2,-.55104661,-.74491704,-.36674643,-.61237496
2019m3,-1.007619,-1.2621539,-.17389242,-.40394944
2019m4,.28670898,.10350367,-.21892324,-.44465616
2019m5,.02689857,-.15321915,-.1021118,-.31152031
2019m6,.12338563,-.1141611,-.0334513,-.2533789
2019m7,.50293654,.25924778,-.011834268,-.25867191
2019m8,.53649652,.30806023,.067942299,-.18438353
2019m9,.26543081,.079380587,.07921353,-.17611179
2019m10,-.48425311,-.75615126,-.035879046,-.30322647
2019m11,-.35649332,-.79255414,.021520734,-.23314999
2019m12,-.28962991,-.59355837,-.077597708,-.33695093
2020m1,.38815004,.17794937,-.16843967,-.41663444
2020m2,-1.0089346,-1.2972515,-.2714889,-.5121702
2020m3,.63998365,.5165273,-.28811508,-.52175039
2020m4,-.38912946,-.67496061,-.29760933,-.5110445
2020m5,-.28108114,-.40909141,-.17618144,-.38965151
