date,st_dev_sce,st_dev_resid_sce,st_dev_sce_ma,st_dev_resid_sce_ma
2013m1,,,,
2013m2,,,,
2013m3,,,,
2013m4,,,,
2013m5,,,,
2013m6,4.376616,4.3250227,5.3208756,5.1943741
2013m7,4.9273009,4.8070145,5.624815,5.5278945
2013m8,5.5088902,5.3203816,5.7272243,5.5874782
2013m9,5.0891724,4.9413252,5.7389002,5.5807748
2013m10,6.7023993,6.5781255,5.850225,5.6795845
2013m11,7.1445112,7.1954985,6.137454,5.9683857
2013m12,6.3416815,5.9449801,6.3699622,6.2066307
2014m1,5.8206301,5.5338507,6.3614044,6.2050395
2014m2,6.7408228,6.4700618,6.565824,6.4160819
2014m3,6.961679,6.9242334,6.5533128,6.4031138
2014m4,7.0198736,6.9512205,6.4752512,6.2902255
2014m5,5.4318686,5.3060617,6.4657927,6.2926636
2014m6,6.9289503,6.8407049,6.5046501,6.371707
2014m7,6.5897999,6.4614129,6.5902963,6.460887
2014m8,6.441956,6.1795049,6.5911031,6.4645863
2014m9,6.2565527,5.9669228,6.5778685,6.4370637
2014m10,6.1703477,6.2452407,6.8175869,6.6763749
2014m11,7.5116401,7.2726793,6.6747928,6.5403361
2014m12,6.9689384,6.9575291,6.5991483,6.5010567
2015m1,6.9007607,6.7035174,6.572556,6.4809198
2015m2,7.5893359,7.4598627,6.5490599,6.4852524
2015m3,5.6438055,5.6163564,6.5775609,6.4934654
2015m4,5.9089961,6.1078954,6.4952526,6.4116311
2015m5,6.2026291,5.9982729,6.5334778,6.4331579
2015m6,6.0450873,6.0059175,6.443562,6.3637276
2015m7,6.426856,6.3191586,6.2075601,6.1469984
2015m8,6.7708635,6.5361695,6.1695271,6.0941639
2015m9,7.3129644,7.151269,6.1940207,6.0885258
2015m10,6.0915198,6.0786476,6.1752529,6.0933318
2015m11,5.4653201,5.5092974,6.1984053,6.114327
2015m12,5.3015065,5.1408453,6.1795182,6.0857563
2016m1,6.1294403,6.0571523,6.1320891,6.050899
2016m2,6.03372,6.0415292,5.9034739,5.8033361
2016m3,6.2534552,6.1948748,5.9057126,5.7817836
2016m4,6.2568741,6.0620227,6.0877314,5.9362545
2016m5,6.3440008,6.2224541,6.1198783,5.9862385
2016m6,5.2554293,4.923203,6.0441642,5.9147682
2016m7,6.1116691,5.8846726,6.0557275,5.8956642
2016m8,7.1034856,6.8995385,6.161305,6.0152078
2016m9,5.5908308,5.5906997,6.2935133,6.1772332
2016m10,5.4480128,5.4139209,6.3882976,6.2998385
2016m11,6.1377912,5.8695931,6.5736866,6.5247855
2016m12,7.2036524,7.2707648,6.6156688,6.5843625
2017m1,7.4467463,7.5202522,6.4916987,6.469595
2017m2,7.1970606,7.325902,6.6447196,6.6299524
2017m3,6.9239311,6.9477262,6.7505279,6.7216868
2017m4,6.4895067,6.4208646,6.7549415,6.7539105
2017m5,5.9877558,5.8666301,6.6327286,6.6066895
2017m6,6.9680195,7.0339165,6.5913234,6.5708237
2017m7,6.4002886,6.2395315,6.5557041,6.5180254
2017m8,6.1775131,6.1596084,6.4121709,6.3620057
2017m9,6.1037335,5.9457755,6.4421949,6.4032845
2017m10,7.0741024,7.1974587,6.4344201,6.3882174
2017m11,6.8764849,6.8507166,6.349174,6.2903051
2017m12,5.6321354,5.5435495,6.3328986,6.2676196
2018m1,6.7597222,6.7923722,6.4095626,6.3328018
2018m2,5.9177823,5.7310266,6.364635,6.2862668
2018m3,6.2008047,6.152709,6.2863035,6.1762161
2018m4,6.2538095,6.0353603,6.2225533,6.0977721
2018m5,6.8674893,6.7462463,6.2243314,6.1024508
2018m6,5.6993837,5.5269604,6.0078926,5.8819056
2018m7,6.3691182,6.2070022,5.9613948,5.8403873
2018m8,6.3027334,6.1447234,5.8975124,5.7835932
2018m9,5.6481376,5.5856586,5.9526658,5.8516507
2018m10,4.8117733,4.8074613,5.9479408,5.8751025
2018m11,5.4993038,5.3573661,5.9946599,5.9183688
2018m12,5.6258621,5.6415582,6.0496645,5.9937906
2019m1,6.7501888,6.6478796,6.0850921,6.0550466
2019m2,6.8249674,6.9573116,6.1572056,6.126883
2019m3,6.1198535,5.9163604,6.3904238,6.3392878
2019m4,6.8641615,6.8857946,6.481319,6.4347272
2019m5,6.6215806,6.6960292,6.6365395,6.5705566
2019m6,6.2971606,6.2321863,6.6221461,6.5313993
2019m7,6.9107375,6.7191043,6.5040832,6.3711205
2019m8,6.3173575,6.2163215,6.5496264,6.4004135
2019m9,7.0228486,6.8640227,6.3982472,6.2506504
2019m10,6.6206493,6.2954631,6.3949056,6.234499
2019m11,5.7624011,5.514801,6.4814582,6.3321333
2019m12,6.5297408,6.1800003,6.6420841,6.4831896
2020m1,5.5017471,5.5379252,6.8498764,6.684834
2020m2,6.5915093,6.5506644,6.8130465,6.6299543
2020m3,7.0761342,7.1108985,6.9035587,6.7483263
2020m4,8.3563681,8.0786076,7.046021,6.8982763
2020m5,8.1874905,8.0311241,7.0465417,6.9243846
