date,st_dev_lt_sce,st_dev_resid_lt_sce,st_dev_lt_sce_ma,st_dev_resid_lt_sce_ma
2013m1,,,,
2013m2,,,,
2013m3,,,,
2013m4,,,,
2013m5,,,,
2013m6,4.5301919,4.4017296,5.3624835,5.2290502
2013m7,5.0946636,4.8976636,5.4869285,5.42414
2013m8,5.6854672,5.6096711,5.460618,5.3978858
2013m9,5.9431968,5.9155321,5.5678535,5.515975
2013m10,5.5588984,5.3206544,5.63905,5.5733576
2013m11,6.1091528,6.3995905,5.8802719,5.8258076
2013m12,5.3027558,5.2403607,6.1278777,6.1094089
2014m1,6.3185024,6.3425961,6.176743,6.1642122
2014m2,6.2086201,6.0324183,6.1769071,6.1702056
2014m3,6.7011919,6.6737809,6.1405487,6.1658549
2014m4,7.3231153,7.4500747,6.0390792,6.0184059
2014m5,6.1252527,6.1029019,5.9762645,5.9148932
2014m6,5.944674,5.9694715,5.8484855,5.7830467
2014m7,5.2316742,5.2815013,5.960938,5.9096298
2014m8,5.1959243,5.0725484,5.8619037,5.8067355
2014m9,4.7374272,4.3087449,5.6456847,5.5495696
2014m10,5.1684909,5.1559777,5.7407141,5.6478095
2014m11,7.2206926,7.1716652,5.7031898,5.5956688
2014m12,5.8098798,5.7477341,5.8179007,5.7368288
2015m1,5.3771453,5.135581,5.9916997,5.921803
2015m2,6.9805169,6.9870615,6.1422091,6.1230712
2015m3,5.6069593,5.5002036,6.2517605,6.228209
2015m4,6.2640681,6.5519419,6.1346221,6.1076517
2015m5,6.7601171,6.7373166,6.1032386,6.0739441
2015m6,6.09201,6.1201591,6.1025605,6.10043
2015m7,6.1544571,6.1022177,5.950129,5.9510603
2015m8,6.1664457,6.0866508,5.8441224,5.8504901
2015m9,5.5274258,5.4443641,5.7594237,5.7417727
2015m10,5.3710432,5.3739538,5.5495276,5.5139918
2015m11,5.6086359,5.6427345,5.654942,5.5819936
2015m12,4.6528978,4.5950718,5.6407776,5.5509224
2016m1,5.5017796,5.5734873,5.5401192,5.4415898
2016m2,4.8710523,4.6872864,5.5602965,5.45959
2016m3,7.0407414,6.7321777,5.55581,5.4384761
2016m4,6.0269771,5.8225732,5.6252871,5.4931369
2016m5,5.2605214,5.1026602,5.6961117,5.5515833
2016m6,5.7090187,5.6063657,5.7380242,5.5812745
2016m7,5.330667,5.1839299,5.8893785,5.7493796
2016m8,6.2339272,6.1346784,5.8384128,5.7395926
2016m9,5.2903185,5.1210904,5.8637819,5.7869639
2016m10,5.8789926,5.8407068,6.0151687,5.9655356
2016m11,6.2332439,6.2002358,6.102983,6.0726848
2016m12,6.5820489,6.6440935,6.2419491,6.2296405
2017m1,6.2552972,6.2489157,6.1711173,6.1541047
2017m2,6.6230059,6.7098031,6.2361112,6.2451062
2017m3,6.4993463,6.5707111,6.2097397,6.2178454
2017m4,6.5813608,6.596529,6.1219988,6.1279726
2017m5,5.5964437,5.4548564,6.0554352,6.0603342
2017m6,5.8752604,5.940104,6.0392885,6.0357509
2017m7,5.6416521,5.5953622,5.9759817,5.9617934
2017m8,5.443572,5.3913774,5.9282084,5.903862
2017m9,5.9829788,6.0353489,5.8540778,5.8216643
2017m10,6.1099758,6.0276675,5.7844377,5.7786717
2017m11,6.0532451,6.0441833,5.711946,5.685081
2017m12,6.0693884,6.0493302,5.8623633,5.8275304
2018m1,5.9141836,5.856751,5.8301868,5.786222
2018m2,4.9696808,5.0679193,5.8445811,5.7754254
2018m3,5.2228355,5.0977879,5.778563,5.7192554
2018m4,6.9954109,6.8774061,5.6650252,5.5924139
2018m5,5.1539841,5.0196042,5.7393556,5.6511722
2018m6,6.112525,5.9381781,5.6899991,5.599894
2018m7,5.5158148,5.522141,5.6835709,5.5691528
2018m8,5.0314054,4.902607,5.6933327,5.5894637
2018m9,6.7383604,6.5781546,5.6192975,5.5301323
2018m10,5.4699769,5.395247,5.6623845,5.6060872
2018m11,4.9118266,4.7912502,5.6130304,5.5781441
2018m12,5.3106899,5.2805834,5.6729302,5.6172547
2019m1,6.3290963,6.3434243,5.7780375,5.7410097
2019m2,5.5417633,5.703198,5.6354642,5.6051478
2019m3,5.6683397,5.6866903,5.6986108,5.6820407
2019m4,6.054914,5.8741398,5.7410636,5.7294259
2019m5,5.9773707,6.0164003,5.7750325,5.7455306
2019m6,5.4551983,5.3553987,5.8070149,5.7719922
2019m7,6.0383,6.0872803,5.8738036,5.7911496
2019m8,5.2938986,5.2177191,5.7924023,5.7044973
2019m9,5.6164107,5.4255266,5.7079816,5.6423931
2019m10,6.6169405,6.5815783,5.6915946,5.6131148
2019m11,6.142858,5.8756113,5.6904311,5.6061296
2019m12,4.93573,4.9068222,5.7829852,5.6949153
2020m1,5.2951279,5.3152003,5.8224111,5.7401481
2020m2,5.8298855,5.7528958,5.9898324,5.9277139
2020m3,5.4447303,5.2925329,6.0257463,5.9632139
2020m4,6.871284,6.8863497,6.0522208,6.0070653
2020m5,5.6487322,5.6248169,6.0533195,6.0125165
