date,f_mean_msc,f_mean_sce,f_mean_ecb,r_mean_msc,r_mean_sce,r_mean_ecb,iqr_msc,iqr_sce,iqr_ecb,iqr_resid_msc,iqr_resid_sce,iqr_resid_ecb,st_dev_msc,st_dev_sce,st_dev_ecb,st_dev_msc_ma,st_dev_sce_ma,st_dev_ecb_ma,quasi_st_dev_msc,quasi_st_dev_sce,quasi_st_dev_ecb,st_dev_trim_msc,st_dev_trim_sce,st_dev_trim_ecb,skew_msc,skew_sce,skew_ecb,skew_msc_ma,skew_sce_ma,skew_ecb_ma,mode_skewness_msc,mode_skewness_sce,mode_skewness_ecb,kurtosis_msc,kurtosis_sce,kurtosis_ecb,st_dev_resid_msc,st_dev_resid_sce,st_dev_resid_ecb,st_dev_resid_msc_ma,st_dev_resid_sce_ma,st_dev_resid_ecb_ma,quasi_st_dev_resid_msc,quasi_st_dev_resid_sce,quasi_st_dev_resid_ecb,st_dev_trim_resid_msc,st_dev_trim_resid_sce,st_dev_trim_resid_ecb,skew_resid_msc,skew_resid_sce,skew_resid_ecb,skew_resid_msc_ma,skew_resid_sce_ma,skew_resid_ecb_ma,mode_skewness_resid_msc,mode_skewness_resid_sce,mode_skewness_resid_ecb,kurtosis_resid_msc,kurtosis_resid_sce,kurtosis_resid_ecb
1978m1,4.96987614833171,,,.2894441227922753,,,4,,,4.7938404,,,3.9173925,,,4.34445,,,4.5,,,,,,.88469291,,,.82457286,,,.092128195,,,4.3323922,,,3.9264069,,,4.345315,,,4.2980599,,,.20979325,,,.8671717,,,.7939657,,,-1.0702525,,,4.2857356,,
1978m2,6.033030727609065,,,1.142070854862291,,,6,,,6.4441042,,,4.6166449,,,4.3426127,,,4,,,,,,.87288046,,,.79138637,,,.28392854,,,3.7553327,,,4.5755086,,,4.3407388,,,4.2194409,,,.2355787,,,.83117348,,,.75858063,,,.37998161,,,3.702368,,
1978m3,5.747969788788389,,,.9923383539827063,,,6,,,6.3497362,,,4.3726387,,,4.3223543,,,4.5,,,,,,.88555455,,,.74737829,,,.18687421,,,4.0507789,,,4.4125705,,,4.3223491,,,4.3641448,,,.20032208,,,.84204888,,,.71449089,,,,,,3.8852494,,
1978m4,6.304524643895968,,,1.474504021202271,,,6,,,5.8619328,,,4.0475073,,,4.3720975,,,4,,,0,,,.77309525,,,.70175654,,,.33306089,,,4.2149034,,,4.0787888,,,4.3656998,,,3.7534871,,,.4250859,,,.74845517,,,.66853261,,,.43317664,,,4.1023121,,
1978m5,6.207582523510395,,,1.397212069158909,,,7,,,6.6991858,,,4.7680664,,,4.3931341,,,4.5,,,,,,.70664114,,,.69672883,,,-.73089039,,,3.3335843,,,4.7333007,,,4.3916831,,,4.4342422,,,.22808623,,,.68097925,,,.66467297,,,-.65341419,,,3.2860308,,
1978m6,6.182596663020243,,,1.665998563450817,,,7,,,5.7568355,,,4.3334265,,,4.425478,,,4,,,0,,,.62545401,,,.64241719,,,.38345686,,,3.5200577,,,4.3178563,,,4.4274511,,,3.921381,,,.40955082,,,.58165532,,,.61071277,,,,,,3.3690524,,
1978m7,6.087994664997521,,,1.338160429583843,,,7,,,6.6471691,,,4.2008047,,,4.3980436,,,4,,,,,,.48332974,,,.59014446,,,.32246724,,,3.274734,,,4.2120132,,,4.4106574,,,4.2855258,,,.29236045,,,.44995233,,,.56120378,,,.41951028,,,3.184859,,
1978m8,7.185429221930725,,,2.214656005705153,,,6,,,6.0489216,,,4.7202978,,,4.3640079,,,4,,,,,,.38240409,,,.54714662,,,-.55973727,,,2.9928088,,,4.6691532,,,4.379045,,,4.1748681,,,.25675714,,,.34682462,,,.52212578,,,-.55030996,,,2.9783058,,
1978m9,6.302608173285503,,,1.509518338411137,,,7,,,6.6502638,,,4.561429,,,4.3777251,,,4.5,,,,,,.65650749,,,.50689673,,,.29850116,,,3.4008884,,,4.5995507,,,4.3888578,,,4.6106577,,,.22625521,,,.63379622,,,.48338696,,,-.69562918,,,3.2791026,,
1978m10,6.882738214902383,,,2.109874904419868,,,6,,,5.6991858,,,4.208487,,,4.3681507,,,4,,,,,,.39588824,,,.47223973,,,-.79975814,,,3.2670331,,,4.2483187,,,4.3827591,,,4.1351185,,,.27921572,,,.38152969,,,.44970179,,,-.68390596,,,3.2088704,,
