date,mean_fcast_msc,mean_fcast_sce,mean_fcast_ecb,mean_resid_msc,mean_resid_sce,mean_resid_ecb,med_fcast_msc,med_fcast_sce,med_fcast_ecb,med_resid_msc,med_resid_sce,med_resid_ecb,iqr_msc,iqr_sce,iqr_ecb,iqr_resid_msc,iqr_resid_sce,iqr_resid_ecb,st_dev_msc,st_dev_sce,st_dev_ecb,st_dev_msc_ma,st_dev_sce_ma,st_dev_ecb_ma,quasi_st_dev_msc,quasi_st_dev_sce,quasi_st_dev_ecb,st_dev_trim_msc,st_dev_trim_sce,st_dev_trim_ecb,skew_msc,skew_sce,skew_ecb,skew_msc_ma,skew_sce_ma,skew_ecb_ma,mode_skewness_msc,mode_skewness_sce,mode_skewness_ecb,kurtosis_msc,kurtosis_sce,kurtosis_ecb,st_dev_resid_msc,st_dev_resid_sce,st_dev_resid_ecb,st_dev_resid_msc_ma,st_dev_resid_sce_ma,st_dev_resid_ecb_ma,quasi_st_dev_resid_msc,quasi_st_dev_resid_sce,quasi_st_dev_resid_ecb,st_dev_trim_resid_msc,st_dev_trim_resid_sce,st_dev_trim_resid_ecb,skew_resid_msc,skew_resid_sce,skew_resid_ecb,skew_resid_msc_ma,skew_resid_sce_ma,skew_resid_ecb_ma,mode_skewness_resid_msc,mode_skewness_resid_sce,mode_skewness_resid_ecb,kurtosis_resid_msc,kurtosis_resid_sce,kurtosis_resid_ecb,mean_fcast_lt_msc,mean_fcast_lt_sce,mean_fcast_lt_ecb,mean_resid_lt_msc,mean_resid_lt_sce,mean_resid_lt_ecb,med_fcast_lt_msc,med_fcast_lt_sce,med_fcast_lt_ecb,med_resid_lt_msc,med_resid_lt_sce,med_resid_lt_ecb,iqr_lt_msc,iqr_lt_sce,iqr_lt_ecb,iqr_resid_lt_msc,iqr_resid_lt_sce,iqr_resid_lt_ecb,st_dev_lt_msc,st_dev_lt_sce,st_dev_lt_ecb,st_dev_lt_msc_ma,st_dev_lt_sce_ma,st_dev_lt_ecb_ma,quasi_st_dev_lt_msc,quasi_st_dev_lt_sce,quasi_st_dev_lt_ecb,st_dev_trim_lt_msc,st_dev_trim_lt_sce,st_dev_trim_lt_ecb,skew_lt_msc,skew_lt_sce,skew_lt_ecb,skew_lt_msc_ma,skew_lt_sce_ma,skew_lt_ecb_ma,mode_skewness_lt_msc,mode_skewness_lt_sce,mode_skewness_lt_ecb,kurtosis_lt_msc,kurtosis_lt_sce,kurtosis_lt_ecb,st_dev_resid_lt_msc,st_dev_resid_lt_sce,st_dev_resid_lt_ecb,st_dev_resid_lt_msc_ma,st_dev_resid_lt_sce_ma,st_dev_resid_lt_ecb_ma,quasi_st_dev_resid_lt_msc,quasi_st_dev_resid_lt_sce,quasi_st_dev_resid_lt_ecb,st_dev_trim_resid_lt_msc,st_dev_trim_resid_lt_sce,st_dev_trim_resid_lt_ecb,skew_resid_lt_msc,skew_resid_lt_sce,skew_resid_lt_ecb,skew_resid_lt_msc_ma,skew_resid_lt_sce_ma,skew_resid_lt_ecb_ma,mode_skewness_resid_lt_msc,mode_skewness_resid_lt_sce,mode_skewness_resid_lt_ecb,kurtosis_resid_lt_msc,kurtosis_resid_lt_sce,kurtosis_resid_lt_ecb
1978m1,4.96987614833171,,,.2894778747011906,,,5,,,.15278666,,,4,,,4.7921085,,,3.9173925,,,4.34445,,,4.5,,,,,,.88469291,,,.82457286,,,.092128195,,,4.3323922,,,3.9267471,,,4.3455935,,,4.2983179,,,.21020713,,,.86685628,,,.79342067,,,-1.0693817,,,4.2836289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m2,6.033030727609065,,,1.142195176058163,,,5,,,.62534326,,,6,,,6.4458795,,,4.6166449,,,4.3426127,,,4,,,,,,.87288046,,,.79138637,,,.28392854,,,3.7553327,,,4.5758877,,,4.341012,,,4.2204657,,,.23572035,,,.83041263,,,.75802839,,,.3806487,,,3.7006607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m3,5.747969788788389,,,.9924040915731092,,,5,,,.4109745,,,6,,,6.3462286,,,4.3726387,,,4.3223543,,,4.5,,,,,,.88555455,,,.74737829,,,.18687421,,,4.0507789,,,4.4124966,,,4.3226337,,,4.367013,,,.20028377,,,.84146881,,,.71397758,,,,,,3.8835135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m4,6.304524643895968,,,1.474753925788526,,,6,,,1.4115577,,,6,,,5.8531094,,,4.0475073,,,4.3720975,,,4,,,0,,,.77309525,,,.70175654,,,.33306089,,,4.2149034,,,4.0787997,,,4.3660541,,,3.7509663,,,.42475474,,,.74806404,,,.66798681,,,.43395361,,,4.1004896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m5,6.207582523510395,,,1.397508560423394,,,6,,,1.1788806,,,7,,,6.7059588,,,4.7680664,,,4.3931341,,,4.5,,,,,,.70664114,,,.69672883,,,-.73089039,,,3.3335843,,,4.7340364,,,4.3920169,,,4.4426408,,,.22847077,,,.68030149,,,.66412085,,,-.65261513,,,3.2844949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m6,6.182596663020243,,,1.666131440099319,,,6,,,1.676948,,,7,,,5.7442861,,,4.3334265,,,4.425478,,,4,,,0,,,.62545401,,,.64241719,,,.38345686,,,3.5200577,,,4.3181057,,,4.4277921,,,3.9221482,,,.40890902,,,.58106691,,,.6101355,,,,,,3.3673787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m7,6.087994664997521,,,1.338098919736772,,,6,,,1.7804638,,,7,,,6.6531878,,,4.2008047,,,4.3980436,,,4,,,,,,.48332974,,,.59014446,,,.32246724,,,3.274734,,,4.2123642,,,4.4110246,,,4.2891612,,,.29131249,,,.44967303,,,.56066793,,,.42024913,,,3.1842353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m8,7.185429221930725,,,2.214528151196896,,,7,,,2.4681103,,,6,,,6.0521879,,,4.7202978,,,4.3640079,,,4,,,,,,.38240409,,,.54714662,,,-.55973727,,,2.9928088,,,4.6699948,,,4.3794966,,,4.1731143,,,.25807962,,,.34605122,,,.52160066,,,-.54950118,,,2.9766989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m9,6.302608173285503,,,1.509482553078329,,,6,,,1.2360164,,,7,,,6.6537709,,,4.561429,,,4.3777251,,,4.5,,,,,,.65650749,,,.50689673,,,.29850116,,,3.4008884,,,4.599721,,,4.3893371,,,4.6160469,,,.22752415,,,.63319319,,,.48282906,,,-.69493526,,,3.2773411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978m10,6.882738214902383,,,2.110610624724044,,,7,,,1.9090419,,,6,,,5.7059588,,,4.208487,,,4.3681507,,,4,,,,,,.39588824,,,.47223973,,,-.79975814,,,3.2670331,,,4.248724,,,4.3831935,,,4.1421409,,,.28118229,,,.38098791,,,.44916373,,,-.68296117,,,3.2074115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
